areaName,unitPrice,rooms,halls,floors,houseStruct,floorArea,directions,decoration,elevaPropora,isElevator,yearProperty,totalPrice
江宁,27932,2,1,1,暂无数据,75.9,1,3,4,1,70,212
建邺,34794,3,1,1,1,114.39,0,3,2,1,70,398
江宁,16887,3,2,1,暂无数据,100.67,0,其他,2,0,70,170
建邺,56558,2,1,1,1,94.24,0,2,1.5,1,70,533
秦淮,37822,2,1,3,1,46.27,0,2,5,0,70,175
鼓楼,26480,2,2,2,1,64.2,0,2,3,0,70,170
溧水,11169,2,2,3,1,77,1,1,2,1,70,86
鼓楼,33209,1,1,1,1,40.05,1,2,3,0,70,133
秦淮,36022,1,1,3,3,49.97,0,3,50,1,70,180
秦淮,27121,1,1,2,1,40.56,0,1,2,0,70,110
江宁,29317,1,1,2,1,58.67,0,3,4,1,70,172
雨花台,24442,1,1,3,1,52.37,1,2,100,1,70,128
秦淮,27625,2,1,3,1,50.68,0,2,2,0,70,140
浦口,27547,2,2,1,1,81.68,0,3,3,1,70,225
栖霞,36599,4,2,3,1,128.42,0,3,2,1,70,470
江宁,31282,2,2,3,1,79.28,0,2,2,1,70,248
栖霞,26226,2,1,1,1,54.45,1,2,2,0,70,142.8
江宁,29423,3,2,2,暂无数据,105.02,0,2,2,1,70,309
鼓楼,27107,2,1,2,1,92.23,1,3,2,1,70,250
秦淮,65282,1,1,2,1,33.7,1,2,6,0,70,220
江宁,23973,2,2,3,1,81.97,1,3,2,0,70,196.5
江宁,27223,2,2,3,暂无数据,48.49,1,3,14.66666667,1,70,132
秦淮,36635,2,2,2,1,79.16,0,2,3,0,70,290
鼓楼,42154,2,1,2,1,61.68,0,2,3,0,70,260
江宁,26643,4,2,3,1,137,1,1,1,1,70,365
浦口,23742,3,2,1,1,73.71,0,3,2,1,70,175
江宁,26243,2,1,2,1,78.5,1,2,1.5,1,70,206
江宁,28880,2,2,1,1,90.03,1,3,4,1,70,260
江宁,28176,1,1,3,1,46.14,0,3,20,1,70,130
江宁,25621,2,2,2,1,88.99,0,2,2,0,70,228
建邺,39473,3,2,3,1,134.27,0,2,2,1,70,530
江宁,30289,2,2,1,1,81.22,1,3,2,1,70,246
浦口,27760,3,2,1,1,90.78,1,3,1,1,70,252
鼓楼,61231,2,1,2,1,63.53,0,2,2,1,70,389
江宁,31705,1,1,1,1,50.15,1,3,3,0,70,159
鼓楼,30172,3,1,3,1,64.63,0,1,3,0,70,195
鼓楼,43236,2,1,1,1,60.83,0,2,2,0,70,263
江宁,29904,3,2,2,暂无数据,138.78,0,2,1,1,70,415
秦淮,25381,3,1,3,1,57.13,0,3,4,1,70,145
浦口,35835,4,2,3,1,142.32,0,3,1.5,1,70,510
玄武,29817,3,1,3,1,69.76,0,2,2,0,70,208
浦口,23630,3,2,2,1,79.14,0,3,2,1,70,187
江宁,24696,1,2,2,1,61.55,1,1,3,0,70,152
秦淮,23826,2,1,3,1,74.71,0,2,5,1,70,178
浦口,26899,2,2,2,1,88.48,0,2,1.5,1,70,238
鼓楼,32700,2,1,2,1,67.28,0,3,3,1,70,220
鼓楼,34609,2,1,2,1,63.28,0,3,7,0,70,219
秦淮,39165,3,1,3,1,57.45,1,1,3,0,70,225
鼓楼,82076,2,2,2,1,72.86,1,3,2,0,70,598
鼓楼,25851,2,1,3,1,53.77,1,2,3,0,70,139
秦淮,59145,2,1,2,1,43.96,0,3,2,0,70,260
雨花台,37466,2,2,2,1,78.74,1,3,1.5,1,70,295
鼓楼,29738,3,1,2,1,65.91,0,3,2,0,70,196
浦口,26564,2,2,1,1,82.82,1,3,1.5,1,70,220
秦淮,36652,3,1,2,1,92.22,0,3,4,1,70,338
建邺,57816,2,1,1,1,96.86,1,3,1.5,1,70,560
江宁,24894,3,2,2,1,98.42,0,3,2,1,70,245
浦口,24983,3,2,3,暂无数据,116,0,3,2,1,70,289.8
秦淮,33261,2,1,3,1,50.21,0,2,2,0,70,167
雨花台,28958,1,1,3,1,51.8,1,2,100,1,70,150
鼓楼,57645,3,1,1,1,79.8,0,3,2,0,70,460
江宁,28029,2,2,1,1,88.48,1,3,2,1,70,248
江宁,27111,1,1,2,1,38.73,0,3,2,1,70,105
雨花台,26862,2,1,3,1,55.47,0,2,2,0,70,149
浦口,23233,2,2,1,1,80.92,0,3,2,0,70,188
鼓楼,29670,3,1,2,1,70.78,0,2,2,0,70,210
江宁,24286,2,2,2,1,77,1,3,2,0,70,187
江宁,20259,3,2,2,1,88.85,0,3,2,0,70,180
秦淮,28563,2,1,3,1,63.37,1,3,2,0,70,181
雨花台,28327,2,1,2,1,50.13,0,2,3,0,70,142
江宁,20452,1,1,2,1,56.23,0,2,70,1,70,115
秦淮,39349,3,2,3,1,91.49,1,3,4,暂无数据,70,360
江宁,29472,2,2,1,1,68.54,0,3,2,0,70,202
建邺,31109,2,1,2,1,50.79,0,3,3,0,70,158
浦口,29107,3,1,3,1,111.66,0,3,1.5,1,70,325
江宁,37996,3,2,2,1,90.8,0,3,2,1,70,345
栖霞,26551,3,1,3,1,85.12,1,2,2,0,70,226
秦淮,25815,3,1,3,2,81.35,0,2,2,0,70,210
六合,13008,2,1,2,1,69.19,0,3,2,暂无数据,70,90
栖霞,30212,2,2,3,1,86.06,0,2,3,1,70,260
六合,13526,3,2,1,暂无数据,114.6,0,3,1,1,70,155
玄武,72100,1,0,1,1,33.01,0,2,2,0,70,238
栖霞,32475,3,2,2,1,97,1,3,2,1,70,315
浦口,27551,3,2,3,1,116.15,1,3,1.333333333,1,70,320
江宁,30495,3,2,3,1,86.9,0,3,2,0,70,265
秦淮,34958,1,1,2,1,44.34,0,3,50,1,70,155
秦淮,23740,3,2,3,2,91.83,0,2,2,0,70,218
鼓楼,26506,2,1,3,1,69.42,0,2,3,1,70,184
雨花台,35143,1,1,3,1,58.05,1,2,4,1,70,204
江宁,31403,2,2,2,1,85.98,1,3,2.5,1,70,270
浦口,22614,2,2,3,1,73.85,1,3,3,1,70,167
雨花台,25544,2,2,3,1,84.17,1,3,2,1,70,215
玄武,32489,3,1,2,1,63.1,0,2,2,0,70,205
江宁,37063,3,2,2,1,87.69,1,3,2,1,70,325
秦淮,28631,2,1,2,1,67.41,0,3,2,0,70,193
雨花台,33454,2,2,1,1,91.17,1,3,2,1,70,305
鼓楼,31006,1,1,3,1,57.41,0,3,4.333333333,1,70,178
秦淮,42748,3,2,1,1,105.27,1,3,4,暂无数据,70,450
江宁,28073,1,1,1,1,37.76,0,3,14.66666667,1,70,106
江宁,22700,1,1,1,1,49.34,1,3,7.75,1,70,112
建邺,34964,3,1,3,3,78.94,1,2,2,0,70,276
江宁,27803,2,2,1,1,90.28,1,3,2,0,70,251
江宁,28356,2,2,2,1,89.93,0,3,2,1,70,255
秦淮,43151,3,1,2,1,76.94,0,3,2,暂无数据,70,332
栖霞,25324,2,1,1,1,57.26,0,2,2,0,70,145
江宁,24785,2,1,2,1,92.8,0,2,1.5,1,70,230
