areaName,longitude,latitude,year,month,unitPrice
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,11,99856.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,10,100566.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,9,101838.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,8,101326.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,7,100736.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,6,89883.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,5,85635.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,4,86216.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,3,85552.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,2,92913.0
北京朝阳奥林匹克公园,116.39912692662858,40.00121047451763,2018,1,85483.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,12,83929.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,11,83219.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,10,84730.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,9,84567.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,8,84446.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,7,85382.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,6,85145.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,5,84756.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,4,82075.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,3,80798.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,2,77927.0
北京朝阳安贞,116.52169489108084,39.95895316640668,2018,1,79956.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,12,73256.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,11,76184.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,10,76143.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,9,75497.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,8,75261.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,7,76775.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,6,77028.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,5,75268.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,4,74700.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,3,75299.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,2,75958.0
北京朝阳北苑,116.4280695854648,40.0456305865091,2018,1,73827.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,12,63869.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,11,63384.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,10,64940.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,9,65706.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,8,65785.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,7,61799.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,6,60757.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,5,60027.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,4,59044.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,3,59362.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,2,61215.0
北京朝阳百子湾,116.48041193054726,39.90687072456682,2018,1,60080.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,12,61494.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,11,62902.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,10,64181.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,9,64286.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,8,64133.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,7,65297.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,6,65666.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,5,66112.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,4,66134.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,3,68722.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,2,77087.0
北京朝阳八里庄,116.49918317490761,39.92701585322038,2018,1,65943.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,12,83860.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,11,83568.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,10,84011.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,9,85523.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,8,85622.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,7,86227.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,6,85497.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,5,84139.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,4,84522.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,3,86534.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,2,84918.0
北京朝阳朝外大街,116.45364560724974,39.928961698605434,2018,1,88209.0
北京朝阳朝阳公园东,116.49195192245064,39.9515639236525,2018,12,111682.0
北京朝阳朝阳公园东,116.49195192245064,39.9515639236525,2018,11,111431.0
