wuxi
2014-07,6801
2014-06,6678
2014-05,6630
2014-04,6611
2014-03,6754
2014-02,6664
2014-01,6669
2015-12,6624
2015-11,6718
2015-10,6758
2015-09,6569
2015-08,6666
2015-07,6271
2015-06,6226
2015-05,6175
2015-04,6153
2015-03,5448
2015-02,5458
2015-01,5577
2016-12,6761
2016-11,6743
2016-10,6607
2016-09,6588
2016-08,6584
2016-07,6583
2016-06,6601
2016-05,6615
2016-04,6502
2016-03,6588
2016-02,6570
2016-01,6624
2017-12,8786
2017-11,8967
2017-10,9222
2017-09,9513
2017-08,9634
2017-07,9341
2017-06,8735
2017-05,8112
2017-04,7961
2017-03,7605
2017-02,7241
2017-01,7150
2018-12,10132
2018-11,10275
2018-10,10290
2018-09,10249
2018-08,10220
2018-07,10005
2018-06,9974
2018-05,9622
2018-04,9399
2018-03,9142
2018-02,8887
2018-01,8789
2019-02,10139
2019-01,10110
huaian
2015-12,5580
2015-11,5887
2015-10,5175
2015-09,4817
2015-08,4696
2015-07,5272
2015-06,5194
2015-05,5160
2015-04,5229
2016-12,5740
2016-11,5686
2016-10,5530
2016-09,5595
2016-08,5587
2016-07,5569
2016-06,5545
2016-05,5541
2016-04,5566
2016-03,5663
2016-02,5601
2016-01,5580
2017-12,7988
2017-11,7899
2017-10,7797
2017-09,7780
2017-08,7690
2017-07,7619
2017-06,7544
2017-05,7440
2017-04,7326
2017-03,7133
2017-02,6846
2017-01,6364
2018-12,8582
2018-11,8690
2018-10,8788
2018-09,8754
2018-08,8831
2018-07,8784
2018-06,8751
2018-05,8547
2018-04,8343
2018-03,8202
2018-02,8075
2018-01,8012
2019-02,8454
2019-01,8470
zhenjiang
2011-12,6860
2011-11,6848
2012-12,6578
2012-11,6578
2012-10,6772
2012-09,7326
2012-08,7465
2012-07,7478
2012-06,7478
2012-05,7540
2012-04,7504
2012-03,7504
2012-02,7155
2012-01,6860
2013-12,6663
2013-11,6578
2013-10,6578
2013-09,6578
2013-08,6578
2013-07,6578
2013-06,6578
2013-05,6833
2013-04,6578
2013-03,6578
2013-02,6578
2013-01,6578
2014-11,6888
2014-10,7025
2014-09,7271
2014-08,7423
2014-07,7695
2014-06,7824
2014-05,8017
2014-04,8138
2014-03,8137
2014-02,8201
2014-01,8252
2015-12,7304
2015-11,6881
2015-10,5521
2015-09,5397
2015-08,7485
2015-07,5167
2015-06,5147
2015-05,5047
2015-04,4812
2016-12,7240
2016-11,7295
2016-10,7431
2016-09,7329
2016-08,7298
2016-07,7194
2016-06,7296
2016-05,7560
2016-04,7785
2016-03,7854
2016-02,7416
2016-01,7304
2017-12,9049
2017-11,9092
2017-10,9057
2017-09,8952
2017-08,8961
2017-07,9075
2017-06,8872
2017-05,8480
2017-04,8122
2017-03,7645
2017-02,7182
2017-01,7247
2018-12,9700
2018-11,9742
2018-10,9734
2018-09,9665
2018-08,9538
2018-07,9323
2018-06,9241
2018-05,9150
2018-04,9213
2018-03,9187
2018-02,9033
